model,pozitsiya,narx,yil,km,yonilgi,kraska,rang,hudud,posted_date
#Gentra,2,"13,800$",2023,900,Benzin ,,Oq,,2024-03
#Cobalt,2,"11,800$",2021,34.742,Benzin ,,Oq,,2024-03
#Lacetti,3,"9,200$",2013,299.660,Benzin + Metan ,,Oq,,2024-03
#Matiz Best,3,"6,800$",2018,51.000,Benzin ,,Oq,,2024-03
 #Gentra,3,"14,300$",2021,68.000,Benzin + Propan 4 pok ,,Qora,,2024-03
#Nexia 3 ,1,"9,000$",2019,64.000,Benzin  ,,Oq,,2024-03
# #Cobalt,4,"12,900$",2022,30.000,Benzin + Metan ,,Oq,,2024-03
#Gentra,3,"14,000$",2021,74.000,Benzin + Gaz ,,Oq,,2024-03
#Cobalt,3,"11,500$",2015,113.000,Benzin ,,Oq,,2024-03
#Nexia 2,1.6L,"9,600$",2013,2.900,Benzin ,,Oq,,2024-03
#Spark,M/T,"8,800$",2021,80.000,Benzin ,,Oq,,2024-03
#Spark,2,"8,500$",2018,82.000,Benzin ,,Oq,,2024-03
#Spark ,4,"8,900$",2019,75.000,Benzin  ,,Oq,,2024-03
#Nexia 1,DOHC,"5,800$",2007,449.800,Benzin + gaz ,,Malochniy,,2024-03
#Malibu ,3,"13,900$",2012,102.000,Benzin + propan ,,Oq,,2024-03
#Gentra,3,"12,800$",2019,49.000,Benzin ,,Oq,,2024-03
#Tracker 2,Premier,"20,950$",2023,1.524,Benzin  ,,Qora,,2024-03
#Gentra ,3,"15,000$",2022,70.000,Benzin + gaz ,,Qora,,2024-03
#Gentra ,3,"16,500$",2023,4.600,Benzin  ,,Oq,,2024-03
#Tracker ,Premier,"18,500$",2022,15.500,Benzin  ,,Qora,,2024-03
#Cobalt ,4,"11,400$",2020,85.000,Benzin  ,,Oq,,2024-03
#Spark ,1,"6,500$",2011,167.000,Benzin  ,,Oq,,2024-03
#Nexia 3,Avtomat,"10,500$",2019,122.000,Benzin + gaz ,,Oq,,2024-03
#Gentra,3,"16,800$",2024,50,Benzin ,,Qora,,2024-03
#KIA K5,Luxe,"28,000$",2024,1.000,Benzin + Propan ,,Qora,,2024-03
#Matiz ,2,"3,450$",2008,272.000,Benzin ,,Kulrang,,2024-03
#Gentra,1,"13,500$",2022,4.000,Benzin ,,Oq,,2024-03
#Malibu 2,Premier,"27,000$",2021,52.000,Benzin + Propan ,,Qora,,2024-03
#Cobalt,4,"11,200$",2020,72.119,Benzin ,,Oq,,2024-03
#Nexia 3,2,"10,300$",2019,119.000,Benzin + Metan 4 pok ,,Oq,,2024-03
#Matiz Best,4,"3,500$",2009,260.000,Benzin ,,Oq,,2024-03
#Lacetti,1,"10,000$",2013,272.000,Benzin ,10%,Metalika,,2024-03
#Toyota Prado 150,4,"81,000$",2023,6.734,Benzin  ,,Qora,,2024-03
#Spark ,4,"8,200$",2017,158.000,Benzin  ,,Oq,,2024-03
#Cobalt,4,"12,100$",2022,64.000,Benzin ,,Qora,,2024-03
#Damas,2,"8,050$",2024,0,Benzin ,,May,,2024-03
#Hyundai Santafe,Full,"32,000$",2020,88.000,Benzin ,,Qora,,2024-03
#Gentra,3,"8,200$",2015,124.000,Benzin + Gaz ,,Oq,,2024-03
#Cobalt,2,"9,700$",2014,142.000,Benzin + Gaz ,,Oq,,2024-03
#Spark,4,"6,300$",2011,170.000,Benzin + Metan ,25%,Oq,,2024-03
#Damas,2,"8,300$",2023,12.700,Benzin + Gaz ,,Oq,,2024-03
#Spark,4,"11,000$",2021,37.000,Benzin ,,Qora,,2024-03
#BYD Song Plus,Full,"27,000$",2023,20.000,Electro ,,Qora,,2024-03
#BYD Song Champion,Full,"29,000$",2023,10.000,Electro 605 km ,,Qora,,2024-03
#Spark,2,"8,000$",2019,178.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 3,A/T,"9,200$",2018,153.000,Benzin + Gaz ,,Oq,,2024-03
#Spark,2,"7,200$",2015,206.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 1,1,"3,000$",1997,230.000,Benzin + Gaz ,,Oq,,2024-03
#Lada Vesta,Full,"14,000$",2021,59.400,Benzin + Gaz ,,Oq,,2024-03
#Damas,2,"7,600$",2021,122.000,Benzin + Gaz ,,Oq,,2024-03
#Matiz,1,"5,500$",2015,280.000,Benzin + Gaz ,,Delfin,,2024-03
#Nexia 3,M/T,"10,400$",2020,76.000,Benzin + Gaz ,,Oq,,2024-03
#Spark,4,"9,000$",2018,110.000,Benzin ,,Oq,,2024-03
#Cobalt,4,"12,450$",2022,86.500,Benzin + Metan 4 pok ,,Oq,,2024-03
#Malibu 2,2.4,"23,800$",2018,43.000,Benzin  ,,Oq,Toshkent,2024-03
#Damas,D2,"9,000$",2024,2.000,Benzin + Gaz ,,Oq,,2024-03
#Spark,3,"9,800$",2021,43.800,Benzin  ,,Oq,,2024-03
#Tracker 2,1,"17,000$",2023,500,Benzin ,,Qora,,2024-03
#Nexia 3,4,"10,300$",2018,87.000,Benzin  ,,Oq,,2024-03
#Cobalt,4,"14,200$",2024,200,Benzin ,,Oq,,2024-03
#Gentra,3,"14,250$",2021,40.000,Benzin ,,Qora,,2024-03
#Spark,2,"6,000$",2014,105.000,Benzin + Gaz ,,Yashil,,2024-03
#Gentra,1,"8,600$",2015,320.000,Benzin + Metan ,,Qora,,2024-03
#Cobalt,4,"10,700$",2019,135.000,Benzin  ,,Oq,,2024-03
#Tracker 2,Premier,"18,600$",2023,11.000,Benzin ,,Oq,,2024-03
#Tico Korea,1,"3,200$",1998,240.000,Benzin ,,Ko'k,,2024-03
#Gentra,3,"14,550$",2022,72.300,Benzin + Propan ,,Qora,,2024-03
#Cobalt,4,"12,500$",2022,55.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,3,"9,300$",2015,103.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 3,3,"11,200$",2020,50.000,Benzin + Gaz 4 pok ,,Oq,,2024-03
#Captiva,2,"13,000$",2012,224.000,Benzin ,,Stalnoy,,2024-03
#Matiz Best,1,"4,200$",2009,392.000,Benzin + Gaz ,,Stalnoy,,2024-03
#Cobalt,2,"10,600$",2018,95.000,Benzin + Metan 4 pok ,5%,Oq,,2024-03
#Spark,2,8300$,2018,108.000,Benzin ,,Oq,,2024-03
#Gentra,A/T,"15,800$",2022,50.000,Benzin  ,,Qora,,2024-03
#Captiva ,4,"22,300$",2017,65.000,Benzin ,,Qora,,2024-03
#Captiva ,2,"16,000$",2012,120.000,Benzin ,,Qora,,2024-03
#Damas,2,"7,900$",2022,45.000,Benzin + Gaz ,,Oq,,2024-03
#Shineray,X,"12,000$",2022,71.000,Benzin + Metan ,,Oq-Seriy,,2024-03
#Damas,Deluxe,"8,050$",2024,0,Benzin ,,Ko'k,,2024-03
#Gentra,3,"15,200$",2024,0,Benzin ,,Oq,,2024-03
#Captiva ,3,"16,100$",2015,123.000,Benzin ,,Oq,,2024-03
#Cobalt,2,"11,000$",2020,92.000,Benzin + Propan 4 pok ,,Oq,,2024-03
#Hyundai Elantra,1.5L,"21,300$",2023,0,Benzin ,,Oq,,2024-03
#Tracker 2,Ls+,"17,700$",2024,0,Benzin ,,Qora,,2024-03
#Damas,D2,"8,450$",2024,25,Benzin ,,Oq,,2024-03
#Tracker 1,Premier,"15,300$",2020,56.000,Benzin + Propan ,,Oq,,2024-03
#Equinox ,RS,"24,800$",2020,73.000,Benzin ,,Qora,,2024-03
#Cobalt,2,"11,000$",2018,60.600,Benzin ,,Oq,,2024-03
#Malibu 1,1,"12,200$",2013,187.000,Benzin + Gaz 4 pok ,,Oq,,2024-03
#Gentra,3,"13,500$",2020,41.000,Benzin ,,Mokriy,,2024-03
#Nexia 3,A/T,"11,050$",2021,17.900,Benzin ,,Mokriy,,2024-03
#Damas, Delux,"7,300$",2018,56.000,Gaz+Benzin ,,Bejiviy,,2024-03
#Damas,2,"7,200$",2020,49.992,Benzin ,,Molochniy,,2024-03
#Cobalt,1,"7,500$",2013,384.000,Benzin + Metan ,25%,Oq,,2024-03
#Nexia 3,2,"10,000$",2020,68.000,Benzin + Gaz ,,Oq,,2024-03
#Tracker 2,RedLine,"22,000$",2024,200,Benzin ,,Qora,,2024-03
#Nexia 1,1,"3,500$",2005,343.000,Benzin + Gaz ,,Metalika,,2024-03
#Gentra,M/T,"9,300$",2016,99.500,Benzin + Gaz 4 pok ,,Mokriy,,2024-03
#Spark,2,"6,500$",2011,284.000,Benzin ,,Oq,,2024-03
#Matiz Best,Super,"6,300$",2016,80.000,Benzin + Metan ,,Oq,,2024-03
#Lacetti,A/T,"9,200$",2010,207.000,Benzin ,,Oq,,2024-03
#Nexia 3,2,"8,500$",2017,187.000,Benzin + Metan 4 pok ,,Oq,,2024-03
#Malibu 2,Premier,"27,500$",2021,27.500,Benzin + Propan ,,Oq,,2024-03
#Cobalt,4,"13,000$",2022,30.500,Benzin + propan 4 pok  ,,Oq,Andijon,2024-03
#Lacetti ,2,"6,700$",2006,367.000,Benzin + propan ,,Kumush,,2024-03
#Nexia 3,4,"9,200$",2017,125.000,Benzin ,,Mokriy,,2024-03
#Malibu 1,1,"14,500$",2013,100.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"14,500$",2024,400,Benzin ,,Oq,,2024-03
#Gentra,3,"15,200$",2023,10.500,Benzin  ,,Darmoon,,2024-03
#Nexia 2,Full,"6,500$",2010,250.000,Benzin + Gaz ,10%,Oq,,2024-03
#Hyundai Porter,Luxe,"18,000$",2015,314.000,Benzin + Metan ,,Qaymoq,,2024-03
#Spark,4,"9,000$",2018,180.000,Benzin  ,,Oq,,2024-03
#Cobalt,4,"12,100$",2022,64.000,Benzin ,,Qora,,2024-03
#Malibu 2,XL,"32,000$",2024,6.000,Benzin + Propan ,,Qora,,2024-03
#Nexia 2,Sons,"6,500$",2015,158.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 2,1.6L,"9,000$",2015,55.000,Benzin + Gaz 4 pok ,,Mokriy,,2024-03
#Cobalt,2,"11,500$",2020,105.000,Benzin + Metan 4 pok ,,Oq,,2024-03
#BYD Song Champion,Full,"31,000$",2023,10.000,Electro 605 km ,,Qora,,2024-03
#Spark,2,"7,300$",2018,132.000,Benzin  ,,Oq,,2024-03
#Tracker 2,Premier,"18,300$",2023,33.300,Benzin ,,Qora,,2024-03
#Captiva,2,"14,000$",2012,151.000,Benzin ,,Oq,,2024-03
#Cobalt,2,"9,200$",2014,250.000,Benzin + Gaz ,,Mokriy,,2024-03
#Cobalt , 🔄Kraska:,"12,500$",2022,51.000,Benzin + Metan 4 pok ,,Jeka2,,2024-03
#Tracker 1,Premier,"14,500$",2018,69.000,Benzin ,,Oq,,2024-03
#Matiz Best,3,"4,000$",2007,113.000,Benzin + Propan ,,Stalnoy,,2024-03
#Spark,3,"6,800$",2012,130.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 3,4,"10,000$",2020,70.000,Benzin + Propan 4 pok  ,,Oq,Toshkent,2024-03
#Nexia 1,1,"6,000$",2008,333.000,Benzin + Gaz ,15%,Stalnoy,,2024-03
#Orlando,2,"15,800$",2014,137.000,Benzin + Metan ,,Qora,,2024-03
#Gentra,3,"13,100$",2020,83.000,Benzin + Propan ,,Chocco,,2024-03
#Cobalt,4,"13,100$",2022,27.000,Benzin + Metan ,,Oq,,2024-03
#Spark,Optimum,"10,000$",2022,8.500,Benzin ,,Oq,,2024-03
#Nexia 3,2,"9,500$",2020,59.500,Benzin ,,Oq,,2024-03
#Cobalt,4,"13,500$",2024,800,Benzin ,,Oq,,2024-03
#Malibu 1,2,"13,000$",2014,137.000,Benzin + Metan ,,Stalnoy,,2024-03
#Cobalt ,1,"8,200$",2015,245.000,Benzin + gaz ,,Oq,,2024-03
#Nexia 3,2,"9,800$",2017,24.400,Benzin  ,,Kumush,,2024-03
#Lacetti ,3,"8,500$",2011,275.000,Benzin + Gaz ,,Qora,,2024-03
#Spark ,3,"7,500$",2014,188.000,Benzin + Metan ,,Oq,,2024-03
#Captiva,3,"14,900$",2013,108.000,Benzin ,,Oq,,2024-03
#Isuzu,10,"65,000$",2021,230.000,Benzin + Metan ,,Oq,,2024-03
#Gentra,3,"14,200$",2022,34.000,Benzin ,,Oq,,2024-03
#Cobalt,4,"13,700$",2023,1.500,Benzin ,,Oq,,2024-03
#Cobalt,4,"13,100$",2024,0,Benzin  ,,Mokriy,,2024-03
#Cobalt,2,"9,500$",2015,140.000,Benzin + Metan 4 pok ,,Mokriy,,2024-03
#Nexia 3,2,"9,800$",2020,59.000,Benzin + Gaz 4 pok  ,,Mokriy,Toshkent,2024-03
#Cobalt,1,"7,900$",2013,253.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 2,Hybrid,"6,200$",2016,243.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"13,500$",2023,203,Benzin ,,Mokriy,,2024-03
#Nexia 2,1,"6,000$",2009,200.000,Benzin + Metan ,,Stalnoy,,2024-03
#BYD Xan,2,"37,800$",2024,50,Electro ,,Qora,,2024-03
#Cobalt ,4,"11,500$",2020,115.000,Benzin + gaz ,,Mokriy,,2024-03
#Monza,1.5L,"18,300$",2023,570,Benzin ,,Qora,,2024-03
#Spark,2,"7,300$",2014,114.000,Benzin + Metan ,,Oq,,2024-03
#Spark,2,"9,500$",2022,27.607,Benzin ,,Swichblade,,2024-03
 #Gentra ,1,"10,600$",2017,120.000,Benzin + Gaz ,,Oq,,2024-03
#Lacetti,3,"9,000$",2011,185.600,Benzin + Gaz ,,Oq,,2024-03
#Spark,2,"6,300$",2011,148.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"11,800$",2020,62.000,Benzin ,,Mokriy,,2024-03
#Nexia 3,4,"10,500$",2020,70.000,Benzin + Propan 4 pok  ,,Oq,Toshkent,2024-03
#Nexia 3,4,"9,800$",2018,124.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"13,700$",2024,0,Benzin ,,Oq,,2024-03
#Cobalt,4,"12,500$",2022,36.000,Benzin ,,Oq,,2024-03
#Lacetti,1,"7,700$",2011,376.000,Benzin + Metan ,30%,Oq,,2024-03
#Cobalt,4,"12,800$",2022,34.300,Benzin + Metan 4 pok Italianskiy ,,Oq,,2024-03
#Damas,2,"7,500$",2019,140.000,Benzin + Gaz  ,,Oq,,2024-03
#Cobalt,4,"12,000$",2019,93.000,Benzin + Metan ,,Oq,,2024-03
#Gentra,1,"10,100$",2019,136.000,Benzin + Gaz ,,GK2,,2024-03
#Gentra,1,"10,400$",2019,51.500,Benzin  ,,Bordoviy,,2024-03
#Cobalt,4,"14,000$",2024,20,Benzin ,,Oq,,2024-03
#Gentra,3,"16,700$",2023,10.000,Benzin ,,Qora,,2024-03
#Gentra,3,"14,300$",2021,35.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"13,300$",2022,28.000,Benzin + Metan ,,Mokriy,,2024-03
#Spark,4,"12,000$",2023,10.000,Benzin ,,Stalnoy,,2024-03
#Spark ,3,"8,000$",2014,188.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"12,800$",2022,30.000,Benzin + Propan ,,Oq,,2024-03
#Gentra,2,"13,400$",2023,12.500,Benzin + Metan ,,Oq,,2024-03
#BYD Song Plus,Full,"27,000$",2023,20.000,Electro ,,Qora,,2024-03
#Cobalt ,4,"13,950$",2024,3,Benzin  ,,Oq,,2024-03
#Nexia 3,2,"10,200$",2020,62.600,Benzin  ,,Oq,,2024-03
#Onix,3,"13,500$",2023,1.050,Benzin  ,,Oq,,2024-03
#Gentra ,3,"11,700$",2017,150.000,Benzin + gaz 4 pok ,,Oq,,2024-03
#Matiz ,Mx,"3,800$",2008,280.000,Benzin  ,,Oq,,2024-03
#Gentra ,Elegant,"14,900$",2020,59.000,Benzin  ,,Qora,,2024-03
#Nexia 2,Super,"7,500$",2015,81.700,Benzin + Gaz ,,Oq,,2024-03
#Gentra ,Elegant,"13,500$",2020,100.000,Benzin  ,,Oq,,2024-03
#Gentra ,3,"12,600$",2020,57.000,Benzin  ,,Oq,,2024-03
#Matiz,Avtomat,"4,500$",2009,123.000,Benzin  ,,Oq,,2024-03
#Nexia 2,COHC,"5,600$",2009,540.000,Benzin + gaz ,,Qora,,2024-03
#Nexia 3,4,"10,400$",2021,71.600,Benzin+ gaz 4 pok ,,Oq,,2024-03
#Cobalt ,1,"7,500$",2014,278.000,Benzin + gaz ,30%,Oq,,2024-03
#Lacetti ,2,"7,200$",2006,367.000,Benzin + propan ,,Kumush,,2024-03
#Tracker 2,LTZ,"18,500$",2023,773,Benzin ,,Qora,,2024-03
#Labo,1,"8,450$",2024,0,Benzin ,,Oq,,2024-03
#Gentra,3,"16,000$",2023,258,Benzin ,,Darkmoon,,2024-03
#Nexia 3,4,"10,800$",2019,64.000,Benzin ,,Oq,,2024-03
#Gentra,3,"13,000$",2018,62.000,Benzin  ,,Oq,,2024-03
#Spark,4,"6,800$",2012,128.000,Benzin ,,Oq,,2024-03
#Gentra,1,"9,700$",2015,104.000,Benzin ,,Zolotoy,,2024-03
#Cobalt,4,"12,800$",2022,49.000,Benzin + Propan ,,Oq,,2024-03
#Damas,D2,"8,400$",2024,0,Benzin ,,Oq,,2024-03
#Gentra,3,"16,400$",2023,18.700,Benzin ,,Qora,,2024-03
#Cobalt,4,"13,800$",2024,80,Benzin  ,,Oq,,2024-03
#Cobalt,2-euro,"10,500$",2018,52.000,Benzin + Metan ,,Oq,,2024-03
#Spark,A/T,"9,700$",2020,42.000,Benzin ,,Oq,,2024-03
#Malibu 1,3,"13,500$",2012,175.000,Benzin ,,Stalnoy,,2024-03
#Cobalt,4,"11,800$",2020,115.800,Benzin + Metan ,,Oq,,2024-03
#Nexia 3,4,"10,500$",2020,70.000,Benzin + Propan 4 pok  ,,Oq,Toshkent,2024-03
#Lacetti ,2,"7,500$",2013,275.000,Benzin ,,Oq,,2024-03
#Lacetti ,3,"8,600$",2013,275.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 2,2,"6,650$",2013,121.800,Benzin  ,,Mokriy,,2024-03
#BYD Song L,4,"37,200$",2024,0,Electro (662 km) ,,Qora,,2024-03
#Gentra,3,"15,300$",2022,48.400,Benzin ,,Qora,,2024-03
#Nexia 2,2,"5,800$",2010,397.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 3,2,"11,200$",2022,16.500,Benzin ,,Mokriy,,2024-03
#Cobalt,4,"12,200$",2023,14.000,Benzin ,,Darkmoon,,2024-03
#BYD E2,Full,17900$,2023,0,Electro (410km) ,,Blue,,2024-03
#Spark ,3,"9,000$",2019,214.000,Benzin  ,,Oq,,2024-03
#Spark ,4,"8,200$",2018,160.000,Benzin  ,,Oq,,2024-03
#Gentra ,3,"16,500$",2023,4.600,Benzin  ,,Oq,,2024-03
#Gentra ,3,"16,800$",2023,91,Benzin  ,,Qora,,2024-03
#Gentra ,1,"13,000$",2022,62.000,Benzin + gaz ,,Oq,,2024-03
#Gentra ,4,"14,500$",2022,34.300,Benzin  ,,Oq,,2024-03
#Captiva ,4,"23,500$",2018,67.000,Benzin  ,,Oq,,2024-03
#Cobalt ,2,"8,800$",2014,165.000,Benzin + gaz ,,Oq,,2024-03
#Nexia 2,4,"6,200$",2011,198.500,Benzin + gaz ,,Qaymoq,,2024-03
#Cobalt ,1,"10,000$",2016,175.000,Benzin + metan 4 pok ,,Oq,,2024-03
#Cobalt ,2,"10,400$",2018,91.000,Benzin  ,,Oq,,2024-03
#Tracker 1,Full,"16,800$",2020,22.500,Benzin  ,,Oq,,2024-03
#Nexia 2,COHC,"7,300$",2015,94.600,Benzin  ,,Molochniy,,2024-03
#Damas ,2,"5,900$",2012,496.000,Benzin + gaz ,,Qaymoq,,2024-03
#Cobalt,4,"11,800$",2022,116.000,Benzin + Gaz  ,,Oq,,2024-03
#Cobalt,4,"13,500$",2024,0,Benzin ,,Stalnoy,,2024-03
#Nexia 2 (1.6),Super,"7,800$",2015,173.500,Benzin + Gaz ,,Mokriy,,2024-03
#Hyundai Tucson,HTRAC,"25,000$",2020,61.500,Benzin ,,Qora,,2024-03
#Cobalt,2,"8,800$",2014,107.000,Benzin ,,Mokriy,,2024-03
#Gentra,3,"15,200$",2023,0,Benzin ,,Darkmoon,,2024-03
#Spark,4,"10,500$",2021,48.600,Benzin ,,Oq,,2024-03
#Hyundai Santafe 7 o'rindiqli,Full,"20,000$",2009,288.000,Benzin + Propan ,,Qora,,2024-03
#Spark,2,"7,400$",2019,125.218,Benzin + Gaz ,,Oq,,2024-03
#Damas,2,"8,600$",2023,10.000,Benzin + Metan ,,Oq,,2024-03
#Spark,2,"5,900$",2012,170.000,Benzin + Gaz 4 pok ,,Oq,,2024-03
#Lacetti,3,"9,500$",2013,243.000,Benzin + Metan 4 pok ,,Qora,,2024-03
#Spark,2,"6,200$",2012,230.000,Benzin + Metan ,,Ko'k,,2024-03
#Gentra,1,"10,000$",2016,150.000,Benzin ,,Mokriy,,2024-03
#Damas,2,"8,000$",2020,125.000,Benzin + Metan ,,Oq,,2024-03
#Gentra,M/T,"9,400$",2016,99.500,Benzin + Gaz 4 pok ,,Mokriy,,2024-03
#Cobalt,3,"9,300$",2014,267.000,Benzin ,,Kulrang,,2024-03
#Gentra,3,"13,300$",2020,73.000,Benzin + Propan 4 pok ,,Oq,,2024-03
#Lacetti,3,"10,400$",2011,83.000,Benzin ,,Oq,,2024-03
#Gentra,3,"13,800$",2021,108.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 3,2,"12,000$",2023,850,Benzin ,,Oq,,2024-03
#Spark,A/T,"5,850$",2011,190.000,Benzin  ,,Oq,,2024-03
#Bestune T55,Full,"22,700$",2022,4.400,Benzin ,,Qora,,2024-03
#Labo,1,"6,800$",2019,109.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"13,100$",2024,3.200,Benzin ,,Darkmoon,,2024-03
#Nexia 2,Hybrid,"6,900$",2015,128.600,Benzin + Metan ,10%,Delfin,,2024-03
#Spark,2,"8,800$",2019,33.500,Benzin ,,Oq,,2024-03
#Malibu 1,3,"15,000$",2014,111.000,Benzin ,,Stalnoy,,2024-03
#Nexia 3,4,"10,500$",2020,70.000,Benzin + Propan 4 pok  ,,Oq,Toshkent,2024-03
#Matiz Best,Super,"5,000$",2009,238.000,Benzin + Metan ,,Metalika,,2024-03
#Malibu 2,Premier,"28,000$",2021,44.000,Benzin ,,Qora,,2024-03
#Nexia 3,1,"8,500$",2018,160.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,4,"12,400$",2022,29.000,Benzin ,,Oq,,2024-03
#Damas,1,"5,200$",2010,334.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 1,Sons,"4,800$",2005,298.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 3,M/T,"9,000$",2021,230.000,Benzin + Gaz ,,Oq,,2024-03
#Gentra,3,"13,500$",2020,127.000,Benzin + Propan 4 pok Italianskiy ,20%,Oq,,2024-03
#Spark,2,"6,600$",2013,128.000,Benzin ,,Kulrang,,2024-03
 #Gentra ,1,"10,900$",2017,120.000,Benzin + Gaz ,,Oq,,2024-03
#Nexia 3 ,A/T,"10,400$",2021,71.000,Benzin + Metan ,,Oq,,2024-03
#Nexia 3, 🔄Kraska:,"12,700$",2020,27.900,Benzin ,,Oq,,2024-03
#Gentra,1,"12,000$",2020,78.000,Benzin + Metan ,,Oq,,2024-03
#Spark,2,"6,200$",2013,270.000,Benzin ,,Stalnoy,,2024-03
#Spark,2,"9,300$",2021,46.000,Benzin ,,Oq,,2024-03
#Cobalt,4,"13,000$",2023,500,Benzin ,,Oq,,2024-03
#Gentra,1,"13,900$",2023,800,Benzin  ,,Oq,,2024-03
#Cobalt,4,"11,200$",2019,119.000,Benzin + Gaz ,,Oq,,2024-03
#Damas,D2,"8,500$",2024,0,Benzin ,,Oq,,2024-03
#Gentra,3,"11,900$",2017,152.000,Benzin + Gaz 4 pok ,,Mokriy,,2024-03
#Matiz Best,2,"4,200$",2009,333.000,Benzin ,,Seriy,,2024-03
#Gentra,1,"9,500$",2015,300.000,Benzin + Gaz 4 pok ,,Mokriy,,2024-03
#Damas,2,"4,800$",2007,200.000,Benzin + Metan ,,Oq,,2024-03
#Cobalt,M/T,"10,500$",2016,58.500,Benzin ,,Mokriy,,2024-03
#Gentra,2,"8,500$",2014,350.000,Benzin + Gaz ,30%,Oq,,2024-03
#Matiz,MX,"6,000$",2017,81.000,Benzin + Metan ,,Oq,,2024-03
#Hyundai Porter,M/T,"13,500$",2011,215.000,Benzin + Gaz ,,Oq,,2024-03
#Gentra,M/T,"10,400$",2020,43.000,Benzin ,,Oq,,2024-03
#Nexia 3,4,"10,500$",2020,70.000,Benzin + Propan 4 pok  ,,Oq,Toshkent,2024-03
#Gentra,1,"10,800$",2018,,Benzin  ,,Mokriy,Toshkent,2024-03
#Lacetti 1.8,3,"9,300$",2009,177.000,Benzin  ,,Seriy,Toshkent,2024-03
#BYD song plus champion 605,Full,"29,300$",2023,11.000,Electro ,,Qora,Toshkent ,2024-03
#Gentra,3,"13,300$",2019,80.000,Benzin + Gaz   ,,Gk2,Andijon,2024-03
#Gentra,3,"17,000$",2023,1.800,Benzin  ,,Qora,,2024-03
#Orlando ,A/T,"15,000$",2015,202.000,Benzin ,,Oq,,2024-03
#Captiva ,1,"12,000$",2009,134.000,Benzin + Propan ,,Stalnoy,,2024-03
#Lacetti ,2,"8,500$",2012,90.000,Benzin  ,,Qora,,2024-03
#Chery Tiggo 7 Pro,Full,"20,000$",2022,18.100,Benzin ,,Oq,,2024-03
#Gentra,A/T,"13,000$",2018,201.000,Benzin + Metan ,,Mokriy,,2024-03
#Gentra,3,"16,400$",2023,1.500,Benzin ,,Qora,,2024-03
#Cobalt,4,"13,250$",2023,4.200,Benzin ,,Oq,,2024-03
#Nexia 2,1,"7,000$",2009,92.500,Benzin + Gaz ,,Stalnoy,,2024-03
#Captiva ,4,"21,500$",2018,90.000,Benzin ,,Oq,,2024-03
#Nexia 3 ,2,"11,000$",2021,12.000,Benzin ,,Oq,,2024-03
#Matiz,Mix,"2,900$",2004,412.000,Benzin  ,,Stalnoy,,2024-03
#Cobalt,4,"13,300$",2024,0,Benzin  ,,Mokriy,,2024-03
#Toyota Corolla Sport Dubai,1.2L,"23,000$",2022,0,Benzin  ,,Oq,,2024-03
#Tracker 1.2 a/t,LS,"17,000$",2023,100,Benzin  ,,Qora,,2024-03
#Gentra,3,"15,800$",2023,9.700,Benzin ,,Oq,,2024-03
#Spark,2,"8,200$",2020,174.000,Benzin + Metan ,,Oq,,2024-03
#Gentra,1,"10,500$",2019,175.000,Benzin ,,Oq,,2024-03
#Nexia 3,2,"10,500$",2020,68.000,Benzin + Metan ,,Oq,,2024-03
#Tracker 1,Premier,"14,000$",2019,62.000,Benzin + Propan ,,Oq,,2024-03
#Onix,Red,"16,900$",2024,0,Benzin ,,Oq,,2024-03
#Malibu 1,2,"13,000$",2013,273.000,Benzin + Metan ,,Oq,,2024-03
#Captiva ,3,"14,900$",2013,107.000,Benzin ,,Oq,,2024-03
#Gentra,2,"13,450$",2024,0,Benzin ,,Oq,,2024-03
#Cobalt,4,"12,600$",2022,33.000,Benzin + Propan ,,Oq,,2024-03
#Cobalt,4,"12,500$",2022,50.000,Benzin  ,,Oq,,2024-03
#Spark,2,"7,500$",2019,120.000,Benzin + Metan ,,Oq,,2024-03
#Jiguli ,1,800$,1985,400.000,Benzin ,,Oq,,2024-03
#Nexia 3,4,"9,700$",2020,205.000,Benzin + Metan 4 pok ,,Oq,,2024-03
#Spark,2,"9,000$",2019,25.000,Benzin ,,Oq,,2024-03
#Spark,3,"6,300$",2015,323.000,Benzin ,,Delfin,,2024-03
